Date,Open,High,Low,Close,Adj Close,Volume
"Mar 29, 2023",193.13,195.29,189.44,193.88,193.88,"123,660,000"
"Mar 28, 2023",192,192.35,185.43,189.19,189.19,"98,654,600"
"Mar 27, 2023",194.42,197.39,189.94,191.81,191.81,"120,851,600"
"Mar 24, 2023",191.65,192.36,187.15,190.41,190.41,"116,312,400"
"Mar 23, 2023",195.26,199.31,188.65,192.22,192.22,"144,193,900"
"Mar 22, 2023",199.3,200.66,190.95,191.15,191.15,"150,376,400"
"Mar 21, 2023",188.28,198,188.04,197.58,197.58,"153,391,400"
"Mar 20, 2023",178.08,186.44,176.35,183.25,183.25,"129,684,400"
"Mar 17, 2023",184.52,186.22,177.33,180.13,180.13,"133,197,100"
"Mar 16, 2023",180.37,185.81,178.84,184.13,184.13,"121,136,800"
"Mar 15, 2023",180.8,182.34,176.03,180.45,180.45,"145,995,600"
"Mar 14, 2023",177.31,183.8,177.14,183.26,183.26,"143,717,900"
"Mar 13, 2023",167.46,177.35,163.91,174.48,174.48,"167,790,300"
"Mar 10, 2023",175.13,178.29,168.44,173.44,173.44,"191,488,900"
"Mar 9, 2023",180.25,185.18,172.51,172.92,172.92,"170,023,800"
"Mar 8, 2023",185.04,186.5,180,182,182,"151,897,800"
"Mar 7, 2023",191.38,194.2,186.1,187.71,187.71,"148,125,800"
"Mar 6, 2023",198.54,198.6,192.3,193.81,193.81,"128,100,100"
"Mar 3, 2023",194.8,200.48,192.88,197.79,197.79,"154,193,300"
"Mar 2, 2023",186.74,193.75,186.01,190.9,190.9,"181,500,700"
"Mar 1, 2023",206.21,207.2,198.52,202.77,202.77,"156,852,800"
"Feb 28, 2023",210.59,211.23,203.75,205.71,205.71,"153,144,900"
"Feb 27, 2023",202.03,209.42,201.26,207.63,207.63,"161,028,300"
"Feb 24, 2023",196.33,197.67,192.8,196.88,196.88,"142,228,100"
"Feb 23, 2023",203.91,205.14,196.33,202.07,202.07,"146,360,000"
"Feb 22, 2023",197.93,201.99,191.78,200.86,200.86,"191,828,500"
"Feb 21, 2023",204.99,209.71,197.22,197.37,197.37,"180,018,600"
"Feb 17, 2023",199.99,208.44,197.5,208.31,208.31,"213,738,500"
"Feb 16, 2023",210.78,217.65,201.84,202.04,202.04,"229,586,500"
"Feb 15, 2023",211.76,214.66,206.11,214.24,214.24,"181,006,400"
